Date,Open,High,Low,Close*,Adj Close**,Volume
10-Feb-22,"1,249.90","1,249.90","1,249.90","1,249.90","1,249.90",129
09-Feb-22,"1,204.90","1,204.90","1,204.90","1,204.90","1,204.90",143
08-Feb-22,"1,159.90","1,159.90","1,159.90","1,159.90","1,159.90",69
07-Feb-22,"1,114.90","1,114.90","1,114.90","1,114.90","1,114.90",95
04-Feb-22,"1,069.90","1,069.90","1,069.90","1,069.90","1,069.90",57
03-Feb-22,"1,019.00","1,024.90","1,017.50","1,024.90","1,024.90",149
02-Feb-22,911.9,979.9,900.9,979.9,979.9,281
01-Feb-22,962.8,962.9,934.9,934.9,934.9,297
31-Jan-22,"1,049.90","1,053.70",979.9,979.9,979.9,244
28-Jan-22,"1,001.10","1,024.90",984.1,"1,024.90","1,024.90",301
27-Jan-22,963.7,"1,035.80",963.7,994.9,994.9,999
26-Jan-22,"1,008.70","1,008.70","1,008.70","1,008.70","1,008.70",79
25-Jan-22,"1,053.70","1,053.70","1,053.70","1,053.70","1,053.70",49
24-Jan-22,"1,098.70","1,098.70","1,098.70","1,098.70","1,098.70",85
21-Jan-22,"1,179.80","1,179.80","1,143.70","1,143.70","1,143.70",245
20-Jan-22,"1,208.20","1,233.70","1,188.70","1,188.70","1,188.70",307
19-Jan-22,"1,295.30","1,311.50","1,233.70","1,233.70","1,233.70",364
18-Jan-22,"1,279.70","1,286.00","1,278.70","1,278.70","1,278.70",280
14-Jan-22,"1,270.00","1,289.00","1,210.00","1,237.10","1,237.10",242
13-Jan-22,"1,244.70","1,244.70","1,217.00","1,229.10","1,229.10",84
12-Jan-22,"1,219.20","1,230.00","1,200.00","1,212.00","1,212.00",88
11-Jan-22,"1,161.00","1,205.00","1,155.00","1,204.90","1,204.90",62
10-Jan-22,"1,196.80","1,196.80","1,158.00","1,160.00","1,160.00",39
07-Jan-22,"1,199.00","1,199.00","1,174.00","1,188.00","1,188.00",41
06-Jan-22,"1,175.00","1,191.40","1,154.00","1,191.40","1,191.40",65
05-Jan-22,"1,139.70","1,162.80","1,139.70","1,159.50","1,159.50",77
04-Jan-22,"1,107.20","1,141.00","1,107.10","1,133.00","1,133.00",92
03-Jan-22,"1,131.00","1,131.00","1,109.10","1,112.00","1,112.00",99
